"Package" "LibPath" "Version" "Priority" "Depends" "Imports" "LinkingTo" "Suggests" "Enhances" "License" "License_is_FOSS" "License_restricts_use" "OS_type" "MD5sum" "NeedsCompilation" "Built"
"faraway" "faraway" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "1.0.7" NA "R (>= 2.10)" "lme4,nlme,methods" NA NA NA "GPL" NA NA NA NA "no" "4.1.0"
"farver" "farver" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "2.1.0" NA NA NA NA "testthat (>= 2.1.0), covr" NA "MIT + file LICENSE" NA NA NA NA "yes" "4.1.0"
"fastcluster" "fastcluster" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "1.1.25" NA "R (>= 3.0.0)" NA NA NA "stats, flashClust" "FreeBSD | GPL-2 | file LICENSE" NA NA NA NA "yes" "4.1.0"
"fastICA" "fastICA" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "1.2-2" NA "R (>= 3.0.0)" NA NA "MASS" NA "GPL-2 | GPL-3" NA NA NA NA "yes" "4.1.0"
"fastmap" "fastmap" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "1.1.0" NA NA NA NA "testthat (>= 2.1.1)" NA "MIT + file LICENSE" NA NA NA NA "yes" "4.1.0"
"fastmatch" "fastmatch" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "1.1-0" NA NA NA NA NA NA "GPL-2" NA NA NA NA "yes" "4.1.0"
"FD" "FD" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "1.0-12" NA "ade4, ape, geometry, vegan" NA NA NA NA "GPL-2" NA NA NA NA "yes" "4.1.0"
"fda" "fda" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "5.1.9" NA "R (>= 3.5), splines, Matrix, fds" NA NA "deSolve, lattice" NA "GPL (>= 2)" NA NA NA NA "no" "4.1.0"
"fds" "fds" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "1.8" NA "R (>= 3.4.0), rainbow, RCurl" NA NA NA NA "GPL (>= 2)" NA NA NA NA "no" "4.1.0"
"fgsea" "fgsea" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "1.18.0" NA "R (>= 3.3)" "Rcpp, data.table, BiocParallel, stats, ggplot2 (>= 2.2.0),
gridExtra, grid, fastmatch, Matrix, utils" "Rcpp, BH" "testthat, knitr, rmarkdown, reactome.db, AnnotationDbi,
parallel, org.Mm.eg.db, limma, GEOquery" NA "MIT + file LICENCE" NA NA NA NA "yes" "4.1.0"
"fields" "fields" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "12.3" NA "R (>= 3.0), methods, spam, viridis" "maps" NA NA NA "GPL (>= 2)" NA NA NA NA "yes" "4.1.0"
"filelock" "filelock" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "1.0.2" NA NA NA NA "callr (>= 2.0.0), covr, testthat" NA "MIT + file LICENSE" NA NA NA NA "yes" "4.1.0"
"findpython" "findpython" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "1.0.7" NA NA NA NA "reticulate, testthat" NA "MIT + file LICENSE" NA NA NA NA "no" "4.1.0"
"fitdistrplus" "fitdistrplus" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "1.1-3" NA "R (>= 3.2.0), MASS, grDevices, survival, methods" "stats" NA "actuar, rgenoud, mc2d, gamlss.dist, knitr, ggplot2,
GeneralizedHyperbolic, rmarkdown, Hmisc" NA "GPL (>= 2)" NA NA NA NA "no" "4.1.0"
"flexmix" "flexmix" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "2.3-17" NA "R (>= 2.15.0), lattice" "graphics, grid, grDevices, methods, modeltools (>= 0.2-16),
nnet, stats, stats4, utils" NA "actuar, codetools, diptest, Ecdat, ellipse, gclus, glmnet,
lme4 (>= 1.1), MASS, mgcv (>= 1.8-0), mlbench, multcomp,
mvtnorm, SuppDists, survival" NA "GPL (>= 2)" NA NA NA NA "no" "4.1.0"
"FlowSorted.Blood.450k" "FlowSorted.Blood.450k" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "1.30.0" NA "R (>= 2.13.0), minfi (>= 1.21.2)" NA NA NA NA "Artistic-2.0" NA NA NA NA "no" "4.1.0"
"FlowSorted.Blood.EPIC" "FlowSorted.Blood.EPIC" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "1.10.0" NA "R (>= 3.5), minfi (>= 1.21.2), SummarizedExperiment,
genefilter, quadprog, nlme, S4Vectors, graphics, stats, utils,
IlluminaHumanMethylationEPICanno.ilm10b4.hg19, ExperimentHub" NA NA "knitr, rmarkdown, EpiDISH, FlowSorted.CordBloodCombined.450k,
FlowSorted.Blood.450k(>= 1.0.1), FlowSorted.CordBlood.450k,
FlowSorted.CordBloodNorway.450k, testthat,
IlluminaHumanMethylation450kmanifest(>= 0.2.0),
IlluminaHumanMethylation450kanno.ilmn12.hg19(>= 0.2.1),
IlluminaHumanMethylationEPICanno.ilm10b2.hg19" NA "GPL-3" NA NA NA NA "no" "4.1.0"
"FNN" "FNN" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "1.1.3" NA "R (>= 3.0.0)" NA NA "chemometrics, mvtnorm" NA "GPL (>= 2)" NA NA NA NA "yes" "4.1.0"
"fontBitstreamVera" "fontBitstreamVera" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "0.1.1" NA "R (>= 3.0.0)" NA NA NA NA "file LICENCE" "yes" NA NA NA "no" "4.1.0"
"fontLiberation" "fontLiberation" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "0.1.0" NA "R (>= 3.0)" NA NA NA NA "file LICENSE" "yes" NA NA NA "no" "4.1.0"
"fontquiver" "fontquiver" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "0.2.1" NA "R (>= 3.0.0)" "fontBitstreamVera (>= 0.1.0), fontLiberation (>= 0.1.0)" NA "testthat, htmltools" NA "GPL-3 | file LICENSE" NA NA NA NA "no" "4.1.0"
"forcats" "forcats" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "0.5.1" NA "R (>= 3.2)" "ellipsis, magrittr, rlang, tibble" NA "covr, dplyr, ggplot2, knitr, readr, rmarkdown, testthat" NA "MIT + file LICENSE" NA NA NA NA "no" "4.1.0"
"foreach" "foreach" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "1.5.1" NA "R (>= 2.5.0)" "codetools, utils, iterators" NA "randomForest, doMC, doParallel, testthat, knitr, rmarkdown" NA "Apache License (== 2.0)" NA NA NA NA "no" "4.1.0"
"formatR" "formatR" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "1.9" NA "R (>= 3.2.3)" NA NA "codetools, shiny, testit, rmarkdown, knitr" NA "GPL" NA NA NA NA "no" "4.1.0"
"Formula" "Formula" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "1.2-4" NA "R (>= 2.0.0), stats" NA NA NA NA "GPL-2 | GPL-3" NA NA NA NA "no" "4.1.0"
"freetypeharfbuzz" "freetypeharfbuzz" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "0.2.6" NA "R (>= 3.2)" "fontquiver" NA "covr, testthat" NA "GPL-3 | file LICENSE" NA NA NA NA "yes" "4.1.0"
"fs" "fs" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "1.5.0" NA "R (>= 3.1)" "methods" NA "testthat, covr, pillar (>= 1.0.0), tibble (>= 1.1.0), crayon,
rmarkdown, knitr, withr, spelling, vctrs (>= 0.3.0)" NA "GPL-3" NA NA NA NA "yes" "4.1.0"
"futile.logger" "futile.logger" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "1.4.3" NA "R (>= 3.0.0)" "utils, lambda.r (>= 1.1.0), futile.options" NA "testthat, jsonlite" NA "LGPL-3" NA NA NA NA "no" "4.1.0"
"futile.options" "futile.options" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "1.0.1" NA "R (>= 2.8.0)" NA NA NA NA "LGPL-3" NA NA NA NA "no" "4.1.0"
"future" "future" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "1.21.0" NA NA "digest, globals (>= 0.13.1), listenv (>= 0.8.0), parallel,
parallelly (>= 1.21.0), tools, utils" NA "RhpcBLASctl, R.rsp, markdown" NA "LGPL (>= 2.1)" NA NA NA NA "no" "4.1.0"
"future.apply" "future.apply" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "1.7.0" NA "R (>= 3.2.0), future (>= 1.17.0)" "globals (>= 0.12.5), parallel, utils" NA "datasets, stats, tools, listenv (>= 0.8.0), R.rsp, markdown" NA "GPL (>= 2)" NA NA NA NA "no" "4.1.0"
"gamlss" "gamlss" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "5.3-4" NA "R (>= 3.3.0), graphics, stats, splines, utils, grDevices,
gamlss.data (>= 5.0-0), gamlss.dist (>= 4.3.1), nlme, parallel" "MASS, survival, methods" NA NA NA "GPL-2 | GPL-3" NA NA NA NA "yes" "4.1.0"
"gamlss.data" "gamlss.data" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "6.0-1" NA "R (>= 3.5.0)" NA NA NA NA "GPL-2 | GPL-3" NA NA NA NA "no" "4.1.0"
"gamlss.dist" "gamlss.dist" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "5.3-2" NA "R (>= 2.15.0), MASS, graphics, stats, methods, grDevices" NA NA NA NA "GPL-2 | GPL-3" NA NA NA NA "yes" "4.1.0"
"gargle" "gargle" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "1.1.0" NA "R (>= 3.3)" "cli (>= 2.3.1), fs (>= 1.3.1), glue (>= 1.3.0), httr (>=
1.4.0), jsonlite, rappdirs, rlang (>= 0.4.9), rstudioapi,
stats, withr" NA "covr, httpuv, knitr, mockr, rmarkdown, sodium, spelling,
testthat (>= 3.0.0)" NA "MIT + file LICENSE" NA NA NA NA "no" "4.1.0"
"gclus" "gclus" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "1.3.2" NA "R (>= 2.10), cluster" NA NA "knitr, rmarkdown" NA "GPL (>= 2)" NA NA NA NA "no" "4.1.0"
"gdata" "gdata" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "2.18.0" NA "R (>= 2.3.0)" "gtools, stats, methods, utils" NA "RUnit" NA "GPL-2" NA NA NA NA "no" "4.1.0"
"gdtools" "gdtools" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "0.2.3" NA NA "Rcpp (>= 0.12.12), systemfonts (>= 0.1.1)" "Rcpp" "htmltools, testthat, fontquiver (>= 0.2.0), curl" NA "GPL-3 | file LICENSE" NA NA NA NA "yes" "4.1.0"
"genefilter" "genefilter" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "1.74.0" NA NA "BiocGenerics, AnnotationDbi, annotate, Biobase, graphics,
methods, stats, survival, grDevices" NA "class, hgu95av2.db, tkWidgets, ALL, ROC, RColorBrewer,
BiocStyle, knitr" NA "Artistic-2.0" NA NA NA NA "yes" "4.1.0"
"geneLenDataBase" "geneLenDataBase" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "1.28.0" NA "R (>= 2.11.0)" "utils, rtracklayer, GenomicFeatures (>= 1.3.15)" NA NA NA "LGPL (>= 2)" NA NA NA NA "no" "4.1.0"
"geneplotter" "geneplotter" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "1.70.0" NA "R (>= 2.10), methods, Biobase, BiocGenerics, lattice, annotate" "AnnotationDbi, graphics, grDevices, grid, RColorBrewer, stats,
utils" NA "Rgraphviz, fibroEset, hgu95av2.db, hu6800.db, hgu133a.db" NA "Artistic-2.0" NA NA NA NA "no" "4.1.0"
"generics" "generics" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "0.1.0" NA "R (>= 3.1)" "methods" NA "covr, pkgload, testthat, tibble" NA "MIT + file LICENSE" NA NA NA NA "no" "4.1.0"
"GenomeInfoDb" "GenomeInfoDb" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "1.28.0" NA "R (>= 4.0.0), methods, BiocGenerics (>= 0.37.0), S4Vectors (>=
0.25.12), IRanges (>= 2.13.12)" "stats, stats4, utils, RCurl, GenomeInfoDbData" NA "GenomicRanges, Rsamtools, GenomicAlignments, GenomicFeatures,
TxDb.Dmelanogaster.UCSC.dm3.ensGene, BSgenome,
BSgenome.Scerevisiae.UCSC.sacCer2, BSgenome.Celegans.UCSC.ce2,
BSgenome.Hsapiens.NCBI.GRCh38, RUnit, BiocStyle, knitr" NA "Artistic-2.0" NA NA NA NA "no" "4.1.0"
"GenomeInfoDbData" "GenomeInfoDbData" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "1.2.6" NA "R (>= 3.5.0)" NA NA NA NA "Artistic-2.0" NA NA NA NA "no" "4.1.0"
"GenomicAlignments" "GenomicAlignments" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "1.28.0" NA "R (>= 4.0.0), methods, BiocGenerics (>= 0.37.0), S4Vectors (>=
0.27.12), IRanges (>= 2.23.9), GenomeInfoDb (>= 1.13.1),
GenomicRanges (>= 1.41.5), SummarizedExperiment (>= 1.9.13),
Biostrings (>= 2.55.7), Rsamtools (>= 1.31.2)" "methods, utils, stats, BiocGenerics, S4Vectors, IRanges,
GenomicRanges, Biostrings, Rsamtools, BiocParallel" "S4Vectors, IRanges" "ShortRead, rtracklayer, BSgenome, GenomicFeatures,
RNAseqData.HNRNPC.bam.chr14, pasillaBamSubset,
TxDb.Hsapiens.UCSC.hg19.knownGene,
TxDb.Dmelanogaster.UCSC.dm3.ensGene,
BSgenome.Dmelanogaster.UCSC.dm3, BSgenome.Hsapiens.UCSC.hg19,
DESeq2, edgeR, RUnit, BiocStyle" NA "Artistic-2.0" NA NA NA NA "yes" "4.1.0"
"GenomicDataCommons" "GenomicDataCommons" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "1.16.0" NA "R (>= 3.4.0), magrittr" "stats, httr, xml2, jsonlite, utils, rlang, readr,
GenomicRanges, IRanges, dplyr, rappdirs, SummarizedExperiment,
S4Vectors, tibble" NA "BiocStyle, knitr, rmarkdown, DT, testthat, listviewer,
ggplot2, GenomicAlignments, Rsamtools" NA "Artistic-2.0" NA NA NA NA "no" "4.1.0"
"GenomicFeatures" "GenomicFeatures" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "1.44.0" NA "BiocGenerics (>= 0.1.0), S4Vectors (>= 0.17.29), IRanges (>=
2.13.23), GenomeInfoDb (>= 1.25.7), GenomicRanges (>= 1.31.17),
AnnotationDbi (>= 1.41.4)" "methods, utils, stats, tools, DBI, RSQLite (>= 2.0), RCurl,
XVector (>= 0.19.7), Biostrings (>= 2.47.6), BiocIO,
rtracklayer (>= 1.51.5), biomaRt (>= 2.17.1), Biobase (>=
2.15.1)" NA "RMariaDB, org.Mm.eg.db, org.Hs.eg.db, BSgenome,
BSgenome.Hsapiens.UCSC.hg19 (>= 1.3.17),
BSgenome.Celegans.UCSC.ce11, BSgenome.Dmelanogaster.UCSC.dm3
(>= 1.3.17), mirbase.db, FDb.UCSC.tRNAs,
TxDb.Hsapiens.UCSC.hg19.knownGene,
TxDb.Celegans.UCSC.ce11.ensGene,
TxDb.Dmelanogaster.UCSC.dm3.ensGene (>= 2.7.1),
TxDb.Mmusculus.UCSC.mm10.knownGene (>= 3.4.7),
TxDb.Hsapiens.UCSC.hg19.lincRNAsTranscripts,
TxDb.Hsapiens.UCSC.hg38.knownGene (>= 3.4.6),
SNPlocs.Hsapiens.dbSNP144.GRCh38, Rsamtools, pasillaBamSubset
(>= 0.0.5), GenomicAlignments (>= 1.15.7), ensembldb, RUnit,
BiocStyle, knitr" NA "Artistic-2.0" NA NA NA NA "no" "4.1.0"
"GenomicRanges" "GenomicRanges" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "1.44.0" NA "R (>= 4.0.0), methods, stats4, BiocGenerics (>= 0.37.0),
S4Vectors (>= 0.27.12), IRanges (>= 2.23.9), GenomeInfoDb (>=
1.15.2)" "utils, stats, XVector (>= 0.29.2)" "S4Vectors, IRanges" "Matrix, Biobase, AnnotationDbi, annotate, Biostrings (>=
2.25.3), SummarizedExperiment (>= 0.1.5), Rsamtools (>=
1.13.53), GenomicAlignments, rtracklayer, BSgenome,
GenomicFeatures, Gviz, VariantAnnotation, AnnotationHub,
DESeq2, DEXSeq, edgeR, KEGGgraph, RNAseqData.HNRNPC.bam.chr14,
pasillaBamSubset, KEGGREST, hgu95av2.db, hgu95av2probe,
BSgenome.Scerevisiae.UCSC.sacCer2, BSgenome.Hsapiens.UCSC.hg19,
BSgenome.Mmusculus.UCSC.mm10,
TxDb.Athaliana.BioMart.plantsmart22,
TxDb.Dmelanogaster.UCSC.dm3.ensGene,
TxDb.Hsapiens.UCSC.hg19.knownGene,
TxDb.Mmusculus.UCSC.mm10.knownGene, RUnit, digest, knitr,
rmarkdown, BiocStyle" NA "Artistic-2.0" NA NA NA NA "yes" "4.1.0"
"GenSA" "GenSA" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "1.1.7" NA "R (>= 2.12.0)" NA NA NA NA "GPL-2" NA NA NA NA "yes" "4.1.0"
"geometry" "geometry" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "0.4.5" NA "R (>= 3.0.0)" "magic, Rcpp, lpSolve, linprog" "Rcpp, RcppProgress" "spelling, testthat, rgl, R.matlab, tripack" NA "GPL (>= 3)" NA NA NA NA "yes" "4.1.0"
"GEOquery" "GEOquery" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "2.60.0" NA "methods, Biobase" "httr, readr (>= 1.3.1), xml2, dplyr, tidyr, magrittr, limma" NA "knitr, rmarkdown, BiocGenerics, testthat, covr" NA "GPL-2" NA NA NA NA "no" "4.1.0"
"gert" "gert" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "1.3.0" NA NA "askpass, credentials (>= 1.2.1), openssl (>= 1.4.1),
rstudioapi (>= 0.11), sys, zip (>= 2.1.0)" NA "spelling, knitr, rmarkdown, testthat" NA "MIT + file LICENSE" NA NA NA NA "yes" "4.1.0"
"getopt" "getopt" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "1.20.3" NA NA "stats" NA "covr, testthat" NA "GPL (>= 2)" NA NA NA NA "no" "4.1.0"
"GetoptLong" "GetoptLong" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "1.0.5" NA "R (>= 3.3.0)" "rjson, GlobalOptions (>= 0.1.0), methods, crayon" NA "testthat (>= 1.0.0), knitr, markdown, rmarkdown" NA "MIT + file LICENSE" NA NA NA NA "no" "4.1.0"
"GGally" "GGally" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "2.1.1" NA "R (>= 3.1), ggplot2 (>= 3.3.0)" "dplyr (>= 1.0.0), forcats, grDevices, grid, gtable (>= 0.2.0),
lifecycle, plyr (>= 1.8.3), progress, RColorBrewer, reshape (>=
0.8.5), rlang, scales (>= 1.1.0), tidyr, utils" NA "broom (>= 0.7.0), broom.helpers (>= 1.1.0), chemometrics,
geosphere (>= 1.5-1), ggforce, Hmisc, igraph (>= 1.0.1),
intergraph (>= 2.0-2), labelled, maps (>= 3.1.0), mapproj,
nnet, network (>= 1.12.0), scagnostics, sna (>= 2.3-2),
survival, rmarkdown, roxygen2, testthat, crosstalk, knitr,
spelling, emmeans" NA "GPL (>= 2.0)" NA NA NA NA "no" "4.1.0"
"ggbeeswarm" "ggbeeswarm" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "0.6.0" NA "R (>= 3.0.0), ggplot2 (>= 2.0)" "beeswarm, vipor" NA "gridExtra" NA "GPL (>= 2)" NA NA NA NA "no" "4.1.0"
"ggdendro" "ggdendro" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "0.1.22" NA NA "MASS, ggplot2(>= 0.9.2)" NA "rpart (>= 4.0-0), tree, testthat, knitr, cluster, scales,
spelling, rmarkdown" NA "GPL-2 | GPL-3" NA NA NA NA "no" "4.1.0"
"ggdist" "ggdist" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "2.4.0" NA "R (>= 3.5.0)" "tidyselect, dplyr (>= 1.0.0), tidyr (>= 1.0.0), ggplot2 (>=
3.3.0), purrr (>= 0.2.3), rlang (>= 0.3.0), scales, grid,
forcats, HDInterval, tibble, vctrs, fda, distributional (>=
0.2.0)" NA "knitr, testthat, vdiffr (>= 0.3.0), svglite, broom (>=
0.5.6), modelr, cowplot, covr, gdtools, rmarkdown, png, pkgdown" NA "GPL (>= 3)" NA NA NA NA "no" "4.1.0"
"ggExtra" "ggExtra" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "0.9" NA "R (>= 3.1.0)" "colourpicker (>= 1.0), ggplot2 (>= 2.2.0), grDevices, grid (>=
3.1.3), gtable (>= 0.2.0), miniUI (>= 0.1.1), scales (>=
0.2.0), shiny (>= 0.13.0), shinyjs (>= 0.5.2), utils, R6" NA "knitr (>= 1.7), rmarkdown, rstudioapi (>= 0.5), testthat,
vdiffr, fontquiver, svglite, withr, devtools" NA "MIT + file LICENSE" NA NA NA NA "no" "4.1.0"
"ggforce" "ggforce" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "0.3.3" NA "ggplot2 (>= 3.0.0), R (>= 3.3.0)" "Rcpp (>= 0.12.2), grid, scales, MASS, tweenr (>= 0.1.5),
gtable, rlang, polyclip, stats, grDevices, tidyselect, withr,
utils" "Rcpp, RcppEigen" "sessioninfo, concaveman, deldir, reshape2, units (>= 0.4-6),
covr" NA "MIT + file LICENSE" NA NA NA NA "yes" "4.1.0"
"ggformula" "ggformula" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "0.10.1" NA "R (>= 3.1), ggplot2 (>= 3.3), ggstance (>= 0.3.4), scales,
ggridges" "mosaicCore (>= 0.7.0), rlang, magrittr, tibble, stringr,
ggforce, grid, labelled" NA "tidyr, mosaicData, dplyr, lattice, mosaic, palmerpenguins,
testthat, vdiffr, knitr, rmarkdown, lubridate, survival, broom,
maps, maptools, rgeos, sf, purrr, ggthemes, covr, ggplot2movies" NA "MIT + file LICENSE" NA NA NA NA "no" "4.1.0"
"ggmosaic" "ggmosaic" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "0.3.3" NA "ggplot2 (>= 3.3.0), R (>= 3.5.0)" "productplots, dplyr, plotly (>= 4.5.5), purrr, rlang, tidyr,
ggrepel, scales" NA "gridExtra, knitr, NHANES, rmarkdown, patchwork" NA "GPL (>= 2)" NA NA NA NA "no" "4.1.0"
"ggnewscale" "ggnewscale" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "0.4.5" NA NA "ggplot2 (>= 3.0.0)" NA "testthat, vdiffr, covr" NA "GPL-3" NA NA NA NA "no" "4.1.0"
"ggplot.multistats" "ggplot.multistats" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "1.0.0" NA NA "methods, rlang, scales, hexbin, ggplot2" NA NA NA "GPL-3" NA NA NA NA "no" "4.1.0"
"ggplot2" "ggplot2" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "3.3.3" NA "R (>= 3.2)" "digest, glue, grDevices, grid, gtable (>= 0.1.1), isoband,
MASS, mgcv, rlang (>= 0.3.0), scales (>= 0.5.0), stats, tibble,
withr (>= 2.0.0)" NA "covr, dplyr, ggplot2movies, hexbin, Hmisc, knitr, lattice,
mapproj, maps, maptools, multcomp, munsell, nlme, profvis,
quantreg, RColorBrewer, rgeos, rmarkdown, rpart, sf (>= 0.7-3),
svglite (>= 1.2.0.9001), testthat (>= 2.1.0), vdiffr (>= 0.3.0)" "sp" "MIT + file LICENSE" NA NA NA NA "no" "4.1.0"
"ggplotify" "ggplotify" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "0.0.7" NA "R (>= 3.4.0)" "ggplot2, graphics, grDevices, grid, gridGraphics, rvcheck" NA "aplot, colorspace, cowplot, ggimage, knitr, rmarkdown,
lattice, prettydoc, vcd, utils" NA "Artistic-2.0" NA NA NA NA "no" "4.1.0"
"ggpmisc" "ggpmisc" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "0.3.9" NA "R (>= 3.6.0), ggplot2 (>= 3.3.2)" "grid, rlang (>= 0.4.7), magrittr (>= 1.5), generics (>=
0.1.0), glue (>= 1.4.2), gridExtra (>= 2.3), scales (>= 1.1.1),
MASS (>= 7.3-51.6), polynom (>= 1.4-0), splus2R (>= 1.2-2),
tibble (>= 3.0.3), plyr (>= 1.8.6), dplyr (>= 1.0.2), xts (>=
0.12-0), zoo (>= 1.8-8), lubridate (>= 1.7.9), stringr (>=
1.4.0)" NA "knitr (>= 1.29), rmarkdown (>= 2.3), broom (>= 0.7.3),
broom.mixed (>= 0.2.6), nlme (>= 3.1-148), gginnards(>= 0.0.3),
ggrepel (>= 0.9.1), magick (>= 2.6.0), quantreg (>= 5.8.3)" NA "GPL (>= 2)" NA NA NA NA "no" "4.1.0"
"ggpointdensity" "ggpointdensity" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "0.1.0" NA "R (>= 3.2)" "ggplot2" NA "viridis, dplyr" NA "GPL-3 | file LICENSE" NA NA NA NA "yes" "4.1.0"
"ggpubr" "ggpubr" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "0.4.0" NA "R (>= 3.1.0), ggplot2" "ggrepel, grid, ggsci, stats, utils, tidyr, purrr, dplyr (>=
0.7.1), cowplot, ggsignif, scales, gridExtra, glue, polynom,
rlang, rstatix (>= 0.6.0), tibble, magrittr" NA "grDevices, knitr, RColorBrewer, gtable" NA "GPL-2" NA NA NA NA "no" "4.1.0"
"ggraph" "ggraph" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "2.0.5" NA "R (>= 2.10), ggplot2 (>= 3.0.0)" "Rcpp (>= 0.12.2), dplyr, ggforce (>= 0.3.1), grid, igraph (>=
1.0.0), scales, MASS, digest, gtable, ggrepel, utils, stats,
viridis, rlang, tidygraph, graphlayouts (>= 0.5.0), withr" "Rcpp" "network, knitr, rmarkdown, purrr, tibble, seriation, deldir,
gganimate, covr" NA "MIT + file LICENSE" NA NA NA NA "yes" "4.1.0"
"ggrepel" "ggrepel" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "0.9.1" NA "R (>= 3.0.0), ggplot2 (>= 2.2.0)" "grid, Rcpp, rlang (>= 0.3.0), scales (>= 0.5.0)" "Rcpp" "knitr, rmarkdown, testthat, gridExtra, devtools, prettydoc,
ggbeeswarm, dplyr, magrittr, readr, stringr" NA "GPL-3 | file LICENSE" NA NA NA NA "yes" "4.1.0"
"ggridges" "ggridges" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "0.5.3" NA "R (>= 3.2)" "ggplot2 (>= 3.0.0), grid (>= 3.0.0), plyr (>= 1.8.0), scales
(>= 0.4.1), withr (>= 2.1.1)" NA "covr, dplyr, patchwork, ggplot2movies, forcats, knitr,
rmarkdown, testthat, vdiffr" NA "GPL-2 | file LICENSE" NA NA NA NA "no" "4.1.0"
"ggsci" "ggsci" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "2.9" NA "R (>= 3.0.2)" "grDevices, scales, ggplot2 (>= 2.0.0)" NA "knitr, rmarkdown, gridExtra, reshape2" NA "GPL-3 | file LICENSE" NA NA NA NA "no" "4.1.0"
"ggsignif" "ggsignif" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "0.6.1" NA NA "ggplot2 (>= 3.3.3)" NA "knitr, rmarkdown, spelling, testthat, vdiffr," NA "GPL-3" NA NA NA NA "no" "4.1.0"
